channel_title,category_id,views,likes,dislikes,comment_total,date,,,,,,,,,,
GameofThrones,1,204553,5164,57,447,14.09,,,,,,,,,,
SciShow,27,307749,11202,150,800,14.09,,,,,,,,,,
Safiya Nygaard,22,2555997,126897,1115,9470,14.09,,,,,,,,,,
JerryRigEverything,26,426636,20387,304,2612,14.09,,,,,,,,,,
AlishaMarie,26,1681417,85017,1038,7196,14.09,,,,,,,,,,
Ingrid Nilsen,26,197356,6357,142,357,14.09,,,,,,,,,,
ScreenPrism,1,170608,3442,303,381,14.09,,,,,,,,,,
Inside Edition,25,28456,849,41,357,14.09,,,,,,,,,,
CBS Miami,25,91906,270,62,219,14.09,,,,,,,,,,
doddlevloggle,24,168561,20645,81,2100,14.09,,,,,,,,,,
TODAY,25,329907,1158,190,434,14.09,,,,,,,,,,
LaurDIY,26,1043993,58482,588,3389,14.09,,,,,,,,,,
James Charles,24,1228127,47168,4719,6048,14.09,,,,,,,,,,
Refinery29,26,16296,361,32,85,14.09,,,,,,,,,,
ViralHog,22,1297769,2727,514,934,14.09,,,,,,,,,,
MSNBC,25,1774499,8057,2128,3396,14.09,,,,,,,,,,
E! Entertainment,24,200970,2034,271,199,14.09,,,,,,,,,,
Kevin The Tech Ninja,28,11811,401,17,50,14.09,,,,,,,,,,
Lofty Pursuits,26,415382,12329,469,1746,14.09,,,,,,,,,,
Funny Local News,25,10892,60,1,26,14.09,,,,,,,,,,
Matthias,28,2064406,41329,2694,15667,14.09,,,,,,,,,,
NewsFunnies,25,273256,2408,121,263,14.09,,,,,,,,,,
ABC News,25,50537,251,27,150,14.09,,,,,,,,,,
Jared's Garage,2,667703,3996,722,280,14.09,,,,,,,,,,
iFL TV,17,137388,974,76,691,14.09,,,,,,,,,,
Freestyle Digital Media,1,9354,53,2,0,14.09,,,,,,,,,,
Michelle Khare,24,326281,8616,472,680,14.09,,,,,,,,,,
Jane Smith,22,168512,224,72,182,14.09,,,,,,,,,,
Kevin Novobilsky,23,2333602,4894,940,445,14.09,,,,,,,,,,
Cal Bears,17,1097,9,0,7,14.09,,,,,,,,,,
Strictly Dumpling,19,645414,13560,495,1792,14.09,,,,,,,,,,
NBTVEVO,10,103175,6708,68,345,14.09,,,,,,,,,,
US Open Tennis Championships,17,122620,756,49,445,14.09,,,,,,,,,,
Tasty,26,358204,13019,196,521,14.09,,,,,,,,,,
JeffHK,19,943682,59232,236,5468,14.09,,,,,,,,,,
Jeremy Jahns,24,808962,17617,1060,5684,14.09,,,,,,,,,,
BBC Earth,15,180554,3458,113,459,14.09,,,,,,,,,,
mayhugh1,2,8075,55,0,6,14.09,,,,,,,,,,
Synthetik Films,10,96468,914,23,159,14.09,,,,,,,,,,
Futbol La Pasion,17,54261,203,4,30,14.09,,,,,,,,,,
A Queen Of Magic,10,80647,475,23,106,14.09,,,,,,,,,,
Kerry Wong,27,2953,105,0,21,14.09,,,,,,,,,,
